frei	freier	freisten
unzuverlässig	unzuverlässiger	unzuverlässigsten
diktatorisch	diktatorischer	diktatorischsten
schizophren	schizophrener	schizophrensten
katastrophal	katastrophaler	katastrophalsten
grundlegend	grundlegender	grundlegendsten
ironisch	ironischer	ironischsten
sarkastisch	sarkastischer	sarkastischsten
sarkastisch	sarkastischer	sarkastischsten
fremdenfeindlich	fremdenfeindlicher	fremdenfeindlichsten
fremdenfeindlich	fremdenfeindlicher	fremdenfeindlichsten
ausländerfeindlich	ausländerfeindlicher	ausländerfeindlichsten
xenophobisch	xenophobischer	xenophobischsten
xenophobisch	xenophobischer	xenophobischsten
barbarisch	barbarischer	barbarischsten
flauschig	flauschiger	flauschigsten
flauschig	flauschiger	flauschigsten
flockig	flockiger	flockigsten
flockig	flockiger	flockigsten
wackelig	wackeliger	wackeligsten
wackelig	wackeliger	wackeligsten
genießbar	genießbarer	genießbarsten
symbolträchtig	symbolträchtiger	symbolträchtigsten
symbolträchtig	symbolträchtiger	symbolträchtigsten
populär	populärer	populärsten
demagogisch	demagogischer	demagogischsten
hitzig	hitziger	hitzigsten
kolossal	kolossaler	kolossalsten
laizistisch	laizistischer	laizistischsten
säkularistisch	säkularistischer	säkularistischsten
säkularistisch	säkularistischer	säkularistischsten
archaisch	archaischer	archaischsten
idiotisch	idiotischer	idiotischsten
furchtlos	furchtloser	furchtlosesten
furchtsam	furchtsamer	furchtsamsten
unberührt	unberührter	unberührtesten
unberührt	unberührter	unberührtesten
ungerührt	ungerührter	ungerührtesten
ungerührt	ungerührter	ungerührtesten
wertfrei	wertfreier	wertfreiesten
wertfrei	wertfreier	wertfreiesten
riskant	riskanter	riskantesten
brenzlig	brenzliger	brenzligsten
brenzlig	brenzliger	brenzligsten
kitzlig	kitzliger	kitzligsten
kitzlig	kitzliger	kitzligsten
kitzelig	kitzeliger	kitzeligsten
kitzelig	kitzeliger	kitzeligsten
heikel	heikler	heikelsten
kollegial	kollegialer	kollegialsten
kollegial	kollegialer	kollegialsten
aggressiv	aggressiver	aggressivsten
beweglich	beweglicher	beweglichsten
abgründig	abgründiger	abgründigsten
abgründig	abgründiger	abgründigsten
transportabel	transportabler	transportabelsten
gefesselt	gefesselter	gefesseltsten
sklavisch	sklavischer	sklavischsten
gleichmütig	gleichmütiger	gleichmütigsten
enttäuschend	enttäuschender	enttäuschendsten
enttäuschend	enttäuschender	enttäuschendsten
chancenlos	chancenloser	chancenlosesten
unparteiisch	unparteiischer	unparteiischsten
unparteilich	unparteilicher	unparteilichsten
gebrechlich	gebrechlicher	gebrechlichsten
fragil	fragiler	fragilsten
zerbrechlich	zerbrechlicher	zerbrechlichsten
fieberhaft	fieberhafter	fieberhaftesten
fieberhaft	fieberhafter	fieberhaftesten
fiebrig	fiebriger	fiebrigsten
riesig	riesiger	riesigsten
salzig	salziger	salzigsten
salzhaltig	salzhaltiger	salzhaltigsten
versalzen	versalzener	versalzensten
unterwürfig	unterwürfiger	unterwürfigsten
sanftmütig	sanftmütiger	sanftmütigsten
sanftmütig	sanftmütiger	sanftmütigsten
feierlich	feierlicher	feierlichsten
hedonistisch	hedonistischer	hedonistischsten
unmoralisch	unmoralischer	unmoralischsten
moralisch	moralischer	moralischsten
ungerecht	ungerechter	ungerechtesten
albtraumhaft	albtraumhafter	albtraumhaftesten
albtraumhaft	albtraumhafter	albtraumhaftesten
zentral	zentraler	zentralsten
hypothetisch	hypothetischer	hypothetischsten
unverbesserlich	unverbesserlicher	unverbesserlichsten
unverbesserlich	unverbesserlicher	unverbesserlichsten
extremistisch	extremistischer	extremistischsten
extremistisch	extremistischer	extremistischsten
interaktiv	interaktiver	interaktivsten
kommunikativ	kommunikativer	kommunikativsten
unmöglich	unmöglicher	unmöglichsten
abgespannt	abgespannter	abgespanntesten
ausgezehrt	ausgezehrter	ausgezehrtesten
ausgezehrt	ausgezehrter	ausgezehrtesten
erschöpft	erschöpfter	erschöpftesten
versnobt	versnobter	versnobtesten
snobistisch	snobistischer	snobistischsten
snobistisch	snobistischer	snobistischsten
benutzerfreundlich	benutzerfreundlicher	benutzerfreundlichsten
hoffnungsvoll	hoffnungsvoller	hoffnungsvollsten
bizarr	bizarrer	bizarrsten
schuldbewusst	schuldbewusster	schuldbewusstesten
bewusst	bewusster	bewusstesten
anachronistisch	anachronistischer	anachronistischsten
infernalisch	infernalischer	infernalischsten
infernalisch	infernalischer	infernalischsten
ehrgeizig	ehrgeiziger	ehrgeizigsten
ländlich	ländlicher	ländlichsten
städtisch	städtischer	städtischsten
tropisch	tropischer	tropischsten
begabt	begabter	begabtesten
hoffnungslos	hoffnungsloser	hoffnungslosesten
vage	vager	vagesten
exzessiv	exzessiver	exzessivsten
übermäßig	übermäßiger	übermäßigsten
unerwünscht	unerwünschter	unerwünschtesten
herzzerreißend	herzzerreißender	herzzerreißendsten
herzzerreißend	herzzerreißender	herzzerreißendsten
apathisch	apathischer	apathischsten
brüderlich	brüderlicher	brüderlichsten
schwierig	schwieriger	schwierigsten
lukrativ	lukrativer	lukrativsten
lächerlich	lächerlicher	lächerlichsten
aberwitzig	aberwitziger	aberwitzigsten
aufregend	aufregender	aufregendsten
irreführend	irreführender	irreführendsten
romantisch	romantischer	romantischsten
explosiv	explosiver	explosivsten
zufrieden	zufriedener	zufriedensten
unzufrieden	unzufriedener	unzufriedensten
unzufrieden	unzufriedener	unzufriedensten
befriedigend	befriedigender	befriedigendsten
unbefriedigend	unbefriedigender	unbefriedigendsten
unbefriedigend	unbefriedigender	unbefriedigendsten
abergläubisch	abergläubischer	abergläubischsten
detailliert	detaillierter	detailliertesten
geil	geiler	geilsten
innovativ	innovativer	innovativsten
skandalös	skandalöser	skandalösesten
verantwortlich	verantwortlicher	verantwortlichsten
wirksam	wirksamer	wirksamsten
unmittelbar	unmittelbarer	unmittelbarsten
belastend	belastender	belastendsten
visionär	visionärer	visionärsten
kontrovers	kontroverser	kontroversesten
umstritten	umstrittener	umstrittensten
aristokratisch	aristokratischer	aristokratischsten
frühreif	frühreifer	frühreifesten
österreichisch	österreichischer	österreichischsten
profitabel	profitabler	profitabelsten
profitabel	profitabler	profitabelsten
autoritär	autoritärer	autoritärsten
gewinnbringend	gewinnbringender	gewinnbringendsten
einträglich	einträglicher	einträglichsten
einträglich	einträglicher	einträglichsten
dankbar	dankbarer	dankbarsten
scharmant	scharmanter	scharmantesten
scharmant	scharmanter	scharmantesten
subversiv	subversiver	subversivsten
begeistert	begeisterter	begeistertsten
blamabel	blamabler	blamabelsten
souverän	souveräner	souveränsten
unecht	unechter	unechtesten
apoplektisch	apoplektischer	apoplektischsten
apoplektisch	apoplektischer	apoplektischsten
couragiert	couragierter	couragiertesten
couragiert	couragierter	couragiertesten
nuanciert	nuancierter	nuanciertesten
nuanciert	nuancierter	nuanciertesten
schick	schicker	schicksten
wirkungslos	wirkungsloser	wirkungslosesten
wirkungslos	wirkungsloser	wirkungslosesten
rüde	rüder	rüdesten
förmlich	förmlicher	förmlichsten
niveauvoll	niveauvoller	niveauvollsten
niveauvoll	niveauvoller	niveauvollsten
niveaulos	niveauloser	niveaulosesten
mittelmäßig	mittelmäßiger	mittelmäßigsten
stressig	stressiger	stressigsten
eifrig	eifriger	eifrigsten
engagiert	engagierter	engagiertesten
pikant	pikanter	pikantesten
pikiert	pikierter	pikiertesten
pikiert	pikierter	pikiertesten
schrill	schriller	schrillsten
wunderbar	wunderbarer	wunderbarsten
wundersam	wundersamer	wundersamsten
wunderlich	wunderlicher	wunderlichsten
gemein	gemeiner	gemeinsten
eklig	ekliger	ekligsten
kriminell	krimineller	kriminellsten
gewalttätig	gewalttätiger	gewalttätigsten
voyeuristisch	voyeuristischer	voyeuristischsten
voyeuristisch	voyeuristischer	voyeuristischsten
hellsichtig	hellsichtiger	hellsichtigsten
esoterisch	esoterischer	esoterischsten
prägnant	prägnanter	prägnantesten
großzügig	großzügiger	großzügigsten
repressiv	repressiver	repressivsten
raffiniert	raffinierter	raffiniertesten
intrigant	intriganter	intrigantesten
blümerant	blümeranter	blümerantesten
skeptisch	skeptischer	skeptischsten
kommunistisch	kommunistischer	kommunistischsten
süffisant	süffisanter	süffisantesten
drakonisch	drakonischer	drakonischsten
stabil	stabiler	stabilsten
entschieden	entschiedener	entschiedensten
glaubwürdig	glaubwürdiger	glaubwürdigsten
vertrauenswürdig	vertrauenswürdiger	vertrauenswürdigsten
akut	akuter	akutesten
afghanisch	afghanischer	afghanischsten
albanisch	albanischer	albanischsten
misstrauisch	misstrauischer	misstrauischsten
sinnlos	sinnloser	sinnlosesten
zwecklos	zweckloser	zwecklosesten
grammatikalisch	grammatikalischer	grammatikalischsten
würdevoll	würdevoller	würdevollsten
zweckmäßig	zweckmäßiger	zweckmäßigsten
herzhaft	herzhafter	herzhaftesten
abenteuerlustig	abenteuerlustiger	abenteuerlustigsten
abenteuerlich	abenteuerlicher	abenteuerlichsten
verzwickt	verzwickter	verzwicktesten
verzwickt	verzwickter	verzwicktesten
einzigartig	einzigartiger	einzigartigsten
suizidgefährdet	suizidgefährdeter	suizidgefährdetsten
selbstmörderisch	selbstmörderischer	selbstmörderischsten
